word,shows,show_count
clothes,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
clothing,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cloud,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
club,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
clue,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
coast,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
coat,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
code,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cold,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
collapse,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
colleague,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
collect,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
color,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
combine,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
come,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
comfort,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
comfortable,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
coming,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
commit,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
commitment,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
common,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
communicate,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
communication,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
company,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
compare,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
competition,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
complain,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
complaint,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
complete,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
completely,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
complex,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
complicate,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
complicated,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
compromise,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
concept,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
concern,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
concerned,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
conclude,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
conclusion,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
condition,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
conduct,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
confess,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
confession,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
confirm,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
confuse,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
confused,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
congratulation,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
consequence,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
consider,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
constant,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
construction,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
consult,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
consume,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
contact,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
content,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
continue,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
contract,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
control,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
